Name,Location,URL,Cuisine,Award,Price,Address
Mägo,"Oakland, USA",https://guide.michelin.com/en/california/oakland/restaurant/mago,Californian,Selected Restaurants,$$$,"3762 Piedmont Ave., Oakland, 94611, USA"
Pizzetta 211,"San Francisco, USA",https://guide.michelin.com/en/california/san-francisco/restaurant/pizzetta-211,Pizza,Selected Restaurants,$$,"211 23rd Ave., San Francisco, 94121, USA"
Fiorella,"San Francisco, USA",https://guide.michelin.com/en/california/san-francisco/restaurant/fiorella,Italian,Selected Restaurants,$$,"2339 Clement St., San Francisco, 94121, USA"
Robin,"San Francisco, USA",https://guide.michelin.com/en/california/san-francisco/restaurant/robin,"Japanese, Californian",Selected Restaurants,$$$$,"620 Gough St., San Francisco, 94102, USA"
Tamarine,"Palo Alto, USA",https://guide.michelin.com/en/california/palo-alto/restaurant/tamarine,"Vietnamese, Contemporary",Selected Restaurants,$$$,"546 University Ave., Palo Alto, 94301, USA"
Felix,"Venice, USA",https://guide.michelin.com/en/california/venice/restaurant/felix-560031,Italian,Selected Restaurants,$$$,"1023 Abbot Kinney Blvd., Venice, 90291, USA"
Boulevard,"San Francisco, USA",https://guide.michelin.com/en/california/san-francisco/restaurant/boulevard,Californian,Selected Restaurants,$$$,"1 Mission St., San Francisco, 94105, USA"
Mulvaney’s B&L,"Sacramento, USA",https://guide.michelin.com/en/california/us-sacramento/restaurant/mulvaney%E2%80%99s-b-l,Californian,Selected Restaurants,$$$,"1215 19th St., Sacramento, 95811, USA"
Carlitos Gardel,"Los Angeles, USA",https://guide.michelin.com/en/california/us-los-angeles/restaurant/carlitos-gardel,Argentinian,Selected Restaurants,$$$,"7963 Melrose Ave., Los Angeles, 90046, USA"
Saltwater,"Inverness, USA",https://guide.michelin.com/en/california/us-inverness/restaurant/saltwater,Seafood,Selected Restaurants,$$$,"12781 Sir Francis Drake Blvd., Inverness, 94937, USA"
Dela Curo,"Oakland, USA",https://guide.michelin.com/en/california/oakland/restaurant/dela-curo,"Japanese, Curry",Selected Restaurants,$$,"907 Washington St., Oakland, 94607, USA"
Shalizaar,"Belmont, USA",https://guide.michelin.com/en/california/belmont/restaurant/shalizaar,"Persian, Grills",Selected Restaurants,$$,"300 El Camino Real, Belmont, 94002, USA"
Cafe La Haye,"Sonoma, USA",https://guide.michelin.com/en/california/sonoma/restaurant/cafe-la-haye,Californian,Selected Restaurants,$$$,"140 E. Napa St., Sonoma, 95476, USA"
hibi,"Los Angeles, USA",https://guide.michelin.com/en/california/us-los-angeles/restaurant/hibi,"Japanese Contemporary, Korean",Selected Restaurants,$$$$,"3121 W. Olympic Blvd., Ste. 103, Los Angeles, 90006, USA"
El Toro,"Zagreb, Croatia",https://guide.michelin.com/en/zagreb-region/zagreb/restaurant/el-toro,"Asian Influences, Asian and Western",Selected Restaurants,€€€,"Ul. fra Filipa Grabovca 1, Zagreb, 10000, Croatia"
The Attic,"Guangzhou, China Mainland",https://guide.michelin.com/en/guangdong-province/guangzhou/restaurant/the-attic-1208124,European Contemporary,Selected Restaurants,¥¥¥¥,"A3-103, T.I.T Smart Zone, Yuan Cun, Tianhe, Guangzhou, China Mainland"
Ebony,"Guangzhou, China Mainland",https://guide.michelin.com/en/guangdong-province/guangzhou/restaurant/ebony,European,Selected Restaurants,¥¥¥,"4F, Mandarin Oriental Hotel, 389 Tianhe Road, Tianhe, Guangzhou, China Mainland"
Tao Ran Xuan (Liwan),"Guangzhou, China Mainland",https://guide.michelin.com/en/guangdong-province/guangzhou/restaurant/tao-ran-xuan-liwan,Cantonese,Selected Restaurants,¥¥,"50 Shamian South Street, Liwan, Guangzhou, China Mainland"
